TID,PID,PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR
2022-Mumbai Indians,Ishan Kishan-2022,Ishan Kishan,Indian,Batsman,152.5,SOLD,Mumbai Indians,2022
2022-Chennai Super Kings,Deepak Chahar-2022,Deepak Chahar,Indian,Bowler,140,SOLD,Chennai Super Kings,2022
2022-Kolkata Knight Riders,Shreyas Iyer-2022,Shreyas Iyer,Indian,Batsman,122.5,SOLD,Kolkata Knight Riders,2022
2022-Punjab Kings,Liam Livingstone-2022,Liam Livingstone,Overseas,All-Rounder,115,SOLD,Punjab Kings,2022
2022-Delhi Capitals,Shardul Thakur-2022,Shardul Thakur,Indian,Bowler,107.5,SOLD,Delhi Capitals,2022
2022-Royal Challengers Bangalore,Wanindu Hasaranga-2022,Wanindu Hasaranga,Overseas,All-Rounder,107.5,SOLD,Royal Challengers Bangalore,2022
2022-Royal Challengers Bangalore,Harshal Patel-2022,Harshal Patel,Indian,All-Rounder,107.5,SOLD,Royal Challengers Bangalore,2022
2022-Sunrisers Hyderabad,Nicholas Pooran-2022,Nicholas Pooran,Overseas,Batsman,107.5,SOLD,Sunrisers Hyderabad,2022
2022-Gujarat Titans,Lockie Ferguson-2022,Lockie Ferguson,Overseas,Bowler,100,SOLD,Gujarat Titans,2022
2022-Lucknow Super Giants,Avesh Khan-2022,Avesh Khan,Indian,Bowler,100,SOLD,Lucknow Super Giants,2022
2022-Rajasthan Royals,Prasidh Krishna-2022,Prasidh Krishna,Indian,Bowler,100,SOLD,Rajasthan Royals,2022
2022-Punjab Kings,Kagiso Rabada-2022,Kagiso Rabada,Overseas,Bowler,92.5,SOLD,Punjab Kings,2022
2022-Gujarat Titans,Rahul Tewatia-2022,Rahul Tewatia,Indian,All-Rounder,90,SOLD,Gujarat Titans,2022
2022-Punjab Kings,Shahrukh Khan-2022,Shahrukh Khan,Indian,All-Rounder,90,SOLD,Punjab Kings,2022
2022-Lucknow Super Giants,Jason Holder-2022,Jason Holder,Overseas,All-Rounder,87.5,SOLD,Lucknow Super Giants,2022
2022-Sunrisers Hyderabad,Washington Sundar-2022,Washington Sundar,Indian,All-Rounder,87.5,SOLD,Sunrisers Hyderabad,2022
