Name,Runs,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Year
Ishan Kishan,56,5,4,175,2,lbw,2,T20I , England,Ahmedabad,2021
Ishan Kishan,4,0,0,44.44,3,caught,1,T20I , England,Ahmedabad,2021
Ishan Kishan,59,8,2,140.47,3,caught,2,ODI , Sri Lanka,Colombo (RPS),2021
Ishan Kishan,1,0,0,25,3,bowled,2,ODI , Sri Lanka,Colombo (RPS),2021
Ishan Kishan,20,1,1,142.85,6,not out,1,T20I , Sri Lanka,Colombo (RPS),2021
Ishan Kishan,4,1,0,50,2,caught,1,T20I , New Zealand,Dubai (DSC),2021
Ishan Kishan,29,6,0,138.09,2,caught,1,T20I , New Zealand,Eden Gardens,2021
Ishan Kishan,28,2,1,77.77,2,caught,2,ODI , West Indies,Ahmedabad,2022
Ishan Kishan,35,4,0,83.33,2,caught,2,T20I , West Indies,Eden Gardens,2022
Ishan Kishan,2,0,0,20,2,caught,1,T20I , West Indies,Eden Gardens,2022
Ishan Kishan,34,5,0,109.67,2,bowled,1,T20I , West Indies,Eden Gardens,2022
Ishan Kishan,89,10,3,158.92,2,caught,1,T20I , Sri Lanka,Lucknow,2022
Ishan Kishan,16,2,0,106.66,2,caught,2,T20I , Sri Lanka,Dharamsala,2022
Ishan Kishan,76,11,3,158.33,1,caught,1,T20I , South Africa,Delhi,2022
Ishan Kishan,34,2,3,161.9,2,caught,1,T20I , South Africa,Cuttack,2022
Ishan Kishan,54,5,2,154.28,2,caught,1,T20I , South Africa,Visakhapatnam,2022
Ishan Kishan,27,3,1,103.84,2,caught,1,T20I , South Africa,Rajkot,2022
Ishan Kishan,15,0,2,214.28,1,bowled,1,T20I , South Africa,Bengaluru,2022
Ishan Kishan,26,3,2,236.36,2,bowled,2,T20I , Ireland,Dublin (Malahide),2022
Ishan Kishan,3,0,0,60,2,caught,1,T20I , Ireland,Dublin (Malahide),2022
Ishan Kishan,8,0,0,80,2,caught,1,T20I , England,Southampton,2022
Ishan Kishan,11,1,0,84.61,1,caught,1,T20I , West Indies,Lauderhill,2022
Ishan Kishan,6,0,0,46.15,4,bowled,2,ODI , Zimbabwe,Harare,2022
Ishan Kishan,50,6,0,81.96,4,run out,1,ODI , Zimbabwe,Harare,2022
Ishan Kishan,20,3,0,54.05,4,caught,2,ODI , South Africa,Lucknow,2022
