Name,Year,Runs,4s,6s,SR,PID
Aaron Finch,2011,408,30,12,133.9,Aaron Finch-2011
Aaron Finch,2012,216,36,0,156.5,Aaron Finch-2012
Aaron Finch,2013,4656,552,162,88.5,Aaron Finch-2013
Aaron Finch,2014,7080,738,168,92.7,Aaron Finch-2014
Aaron Finch,2015,3366,348,54,84.8,Aaron Finch-2015
Aaron Finch,2016,5238,540,174,94.6,Aaron Finch-2016
Aaron Finch,2017,3378,348,96,100.3,Aaron Finch-2017
Aaron Finch,2018,6144,498,264,111.4,Aaron Finch-2018
Aaron Finch,2019,8136,720,282,82.8,Aaron Finch-2019
Aaron Finch,2020,5664,594,126,96.9,Aaron Finch-2020
Aaron Finch,2021,2754,270,96,99.7,Aaron Finch-2021
Aaron Finch,2022,4116,372,90,85.9,Aaron Finch-2022
Abhimanyu Mithun,2010,56,0,4,64.7,Abhimanyu Mithun-2010
Abhimanyu Mithun,2011,46,4,4,143.8,Abhimanyu Mithun-2011
Abhishek Nayar,2009,0,0,0,0.0,Abhishek Nayar-2009
Adam Milne,2010,9,0,0,42.9,Adam Milne-2010
Adam Milne,2012,36,3,3,400.0,Adam Milne-2012
Adam Milne,2014,6,0,0,66.7,Adam Milne-2014
Adam Milne,2015,225,9,3,72.6,Adam Milne-2015
Adam Milne,2016,177,12,6,99.7,Adam Milne-2016
Adam Milne,2017,114,12,0,100.4,Adam Milne-2017
Adam Milne,2018,0,0,0,0.0,Adam Milne-2018
Adam Milne,2021,36,0,3,120.8,Adam Milne-2021
Adam Milne,2022,18,0,3,60.0,Adam Milne-2022
Adam Milne,2023,9,0,0,75.0,Adam Milne-2023
Adam Zampa,2016,57,3,1,79.3,Adam Zampa-2016
Adam Zampa,2017,10,1,0,69.6,Adam Zampa-2017
Adam Zampa,2018,45,4,0,57.8,Adam Zampa-2018
Adam Zampa,2019,11,0,0,63.5,Adam Zampa-2019
Adam Zampa,2020,28,2,0,68.6,Adam Zampa-2020
Adam Zampa,2021,70,8,0,84.4,Adam Zampa-2021
Adam Zampa,2022,33,3,0,40.8,Adam Zampa-2022
Adam Zampa,2023,10,1,0,45.5,Adam Zampa-2023
Aiden Markram,2017,66,4,2,110.0,Aiden Markram-2017
Aiden Markram,2018,341,45,7,79.8,Aiden Markram-2018
Aiden Markram,2019,254,28,2,79.2,Aiden Markram-2019
Aiden Markram,2021,770,60,36,122.4,Aiden Markram-2021
Aiden Markram,2022,536,52,12,108.6,Aiden Markram-2022
Aiden Markram,2023,439,43,14,132.3,Aiden Markram-2023
Ajantha Mendis,2008,57,6,0,98.4,Ajantha Mendis-2008
Ajantha Mendis,2009,36,1,0,59.8,Ajantha Mendis-2009
Ajantha Mendis,2010,5,0,0,51.4,Ajantha Mendis-2010
Ajantha Mendis,2011,15,2,0,42.2,Ajantha Mendis-2011
Ajantha Mendis,2012,4,0,0,36.5,Ajantha Mendis-2012
Ajantha Mendis,2013,21,2,1,43.9,Ajantha Mendis-2013
Ajantha Mendis,2014,33,5,0,101.9,Ajantha Mendis-2014
Ajantha Mendis,2015,25,1,1,77.5,Ajantha Mendis-2015
Ajinkya Rahane,2011,1203,123,9,63.8,Ajinkya Rahane-2011
Ajinkya Rahane,2012,366,30,12,97.7,Ajinkya Rahane-2012
Ajinkya Rahane,2013,339,36,3,45.0,Ajinkya Rahane-2013
Ajinkya Rahane,2014,2490,258,36,69.6,Ajinkya Rahane-2014
Ajinkya Rahane,2015,2277,210,24,76.5,Ajinkya Rahane-2015
Ajinkya Rahane,2016,1158,102,15,82.0,Ajinkya Rahane-2016
Ajinkya Rahane,2017,1758,189,12,67.1,Ajinkya Rahane-2017
Ajinkya Rahane,2018,420,27,6,68.4,Ajinkya Rahane-2018
Akila Dananjaya,2012,0,0,0,0.0,Akila Dananjaya-2012
Akila Dananjaya,2017,138,13,0,70.3,Akila Dananjaya-2017
Akila Dananjaya,2018,169,14,3,92.4,Akila Dananjaya-2018
