Name,Year,Overs,Mdns,Runs,Wkts,Econ,PID
Aaron Finch,2013,44.4,0,210,12,4.2,Aaron Finch-2013
Aaron Finch,2014,18,0,222,0,13.8,Aaron Finch-2014
Aaron Finch,2015,1.8,0,18,0,6.0,Aaron Finch-2015
Aaron Finch,2016,60,0,282,0,4.7,Aaron Finch-2016
Aaron Finch,2017,18.6,0,108,0,5.8,Aaron Finch-2017
Aaron Finch,2018,24,0,144,0,6.3,Aaron Finch-2018
Aaron Finch,2019,108,0,612,12,6.9,Aaron Finch-2019
Aaron Finch,2020,18,0,120,0,7.3,Aaron Finch-2020
Abhimanyu Mithun,2010,24,0,174,0,6.9,Abhimanyu Mithun-2010
Abhimanyu Mithun,2011,36,2,232,6,6.8,Abhimanyu Mithun-2011
Abhishek Nayar,2009,6,0,34,0,5.7,Abhishek Nayar-2009
Adam Milne,2010,24,0,282,3,11.8,Adam Milne-2010
Adam Milne,2012,39.6,0,258,3,8.1,Adam Milne-2012
Adam Milne,2013,54,0,321,0,6.1,Adam Milne-2013
Adam Milne,2014,172.8,6,858,24,5.6,Adam Milne-2014
Adam Milne,2015,419.1,9,2082,69,5.1,Adam Milne-2015
Adam Milne,2016,203.7,3,1350,57,6.9,Adam Milne-2016
Adam Milne,2017,180.6,6,1056,30,5.7,Adam Milne-2017
Adam Milne,2018,19.2,0,159,12,8.2,Adam Milne-2018
Adam Milne,2021,108,3,939,21,9.0,Adam Milne-2021
Adam Milne,2022,96,0,654,24,7.4,Adam Milne-2022
Adam Milne,2023,12,0,126,3,10.5,Adam Milne-2023
Adam Zampa,2016,181.8,2,995,39,5.6,Adam Zampa-2016
Adam Zampa,2017,78.2,1,486,17,6.0,Adam Zampa-2017
Adam Zampa,2018,78,1,469,8,6.0,Adam Zampa-2018
Adam Zampa,2019,167.4,2,985,29,6.1,Adam Zampa-2019
Adam Zampa,2020,159.8,0,897,38,6.1,Adam Zampa-2020
Adam Zampa,2021,98.5,3,658,31,7.3,Adam Zampa-2021
Adam Zampa,2022,159.4,2,932,47,6.4,Adam Zampa-2022
Adam Zampa,2023,18,0,88,4,4.6,Adam Zampa-2023
Aiden Markram,2017,3,0,18,2,6.0,Aiden Markram-2017
Aiden Markram,2018,5,0,38,0,8.0,Aiden Markram-2018
Aiden Markram,2019,12,0,76,1,6.1,Aiden Markram-2019
Aiden Markram,2021,48,2,272,9,7.2,Aiden Markram-2021
Aiden Markram,2022,29,0,167,6,6.3,Aiden Markram-2022
Aiden Markram,2023,28,0,182,4,8.0,Aiden Markram-2023
Ajantha Mendis,2008,146.9,14,541,59,3.8,Ajantha Mendis-2008
Ajantha Mendis,2009,196.8,3,989,38,5.0,Ajantha Mendis-2009
Ajantha Mendis,2010,72,1,390,14,5.6,Ajantha Mendis-2010
Ajantha Mendis,2011,112.1,9,463,24,4.2,Ajantha Mendis-2011
Ajantha Mendis,2012,32,3,201,16,6.2,Ajantha Mendis-2012
Ajantha Mendis,2013,91.9,3,522,19,6.3,Ajantha Mendis-2013
Ajantha Mendis,2014,160.2,6,980,44,6.4,Ajantha Mendis-2014
Ajantha Mendis,2015,24,0,190,4,8.5,Ajantha Mendis-2015
Akila Dananjaya,2012,13,0,83,7,6.1,Akila Dananjaya-2012
Akila Dananjaya,2013,1,0,12,0,12.0,Akila Dananjaya-2013
Akila Dananjaya,2017,132.5,4,729,18,5.8,Akila Dananjaya-2017
Akila Dananjaya,2018,150.1,1,840,35,6.1,Akila Dananjaya-2018
Akila Dananjaya,2019,78.1,1,462,13,6.7,Akila Dananjaya-2019
Akila Dananjaya,2021,58.1,0,444,11,8.6,Akila Dananjaya-2021
