Name,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Format,Opposition,Ground,Year
Deepak Chahar,4,0,43,1,10.75,1,1,T20I , England,Bristol,2018
Deepak Chahar,4,0,37,1,9.25,2,1,ODI , Afghanistan,Dubai (DSC),2018
Deepak Chahar,3,1,4,3,1.33,2,1,T20I , West Indies,Providence,2019
Deepak Chahar,4,0,22,2,5.5,2,1,T20I , South Africa,Mohali,2019
Deepak Chahar,3,0,15,0,5,2,2,T20I , South Africa,Bengaluru,2019
Deepak Chahar,3,0,24,1,8,1,2,T20I , Bangladesh,Delhi,2019
Deepak Chahar,4,0,25,1,6.25,1,1,T20I , Bangladesh,Rajkot,2019
Deepak Chahar,3.2,0,7,6,2.1,3,2,T20I , Bangladesh,Nagpur,2019
Deepak Chahar,4,0,56,1,14,2,1,T20I , West Indies,Hyderabad,2019
Deepak Chahar,3.3,0,35,0,10,1,2,T20I , West Indies,Thiruvananthapuram,2019
Deepak Chahar,4,0,20,2,5,1,2,T20I , West Indies,Wankhede,2019
Deepak Chahar,10,1,48,1,4.8,1,2,ODI , West Indies,Chennai,2019
Deepak Chahar,7,1,44,0,6.28,1,2,ODI , West Indies,Visakhapatnam,2019
Deepak Chahar,4,0,29,1,7.25,1,2,T20I , Australia,Canberra,2020
Deepak Chahar,4,0,48,0,12,1,1,T20I , Australia,Sydney,2020
Deepak Chahar,4,0,34,0,8.5,1,1,T20I , Australia,Sydney,2020
Deepak Chahar,7,1,37,2,5.28,2,1,ODI , Sri Lanka,Colombo (RPS),2021
Deepak Chahar,8,0,53,2,6.62,2,1,ODI , Sri Lanka,Colombo (RPS),2021
Deepak Chahar,3,0,24,2,8,2,2,T20I , Sri Lanka,Colombo (RPS),2021
Deepak Chahar,4,0,42,1,10.5,2,1,T20I , New Zealand,Jaipur,2021
Deepak Chahar,4,0,42,1,10.5,2,1,T20I , New Zealand,Ranchi,2021
Deepak Chahar,2.2,0,26,1,11.14,2,2,T20I , New Zealand,Eden Gardens,2021
Deepak Chahar,8,0,53,2,6.62,1,1,ODI , South Africa,Cape Town,2022
Deepak Chahar,8,1,41,2,5.12,1,2,ODI , West Indies,Ahmedabad,2022
Deepak Chahar,3,0,28,1,9.33,2,1,T20I , West Indies,Eden Gardens,2022
